variant,subset,num_total,num_evaluable,hit_all,hit_mapped,exact,set_f1_macro,delta_hit_all_vs_full,delta_exact_vs_full,delta_set_f1_macro_vs_full
full_baseline,multi_target,3008,3008,0.8028590426,0.8028590426,0.2327127660,0.5326422949,0.0000000000,0.0000000000,0.0000000000
full_baseline,single_target,964,964,0.6732365145,0.6732365145,0.5943983402,0.6408466706,0.0000000000,0.0000000000,0.0000000000
full_baseline,zero_mapped_target,28,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
language_anchors_only,multi_target,3008,3008,0.6642287234,0.6642287234,0.1918218085,0.4562266479,-0.1386303191,-0.0408909574,-0.0764156470
language_anchors_only,single_target,964,964,0.5331950207,0.5331950207,0.4533195021,0.5032849239,-0.1400414938,-0.1410788382,-0.1375617467
language_anchors_only,zero_mapped_target,28,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
no_gaze,multi_target,3008,3008,0.7619680851,0.7619680851,0.2061170213,0.4917458447,-0.0408909574,-0.0265957447,-0.0408964503
no_gaze,single_target,964,964,0.5975103734,0.5975103734,0.5269709544,0.5688582625,-0.0757261411,-0.0674273859,-0.0719884081
no_gaze,zero_mapped_target,28,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
no_hand,multi_target,3008,3008,0.8035239362,0.8035239362,0.2250664894,0.5305761190,0.0006648936,-0.0076462766,-0.0020661759
no_hand,single_target,964,964,0.6732365145,0.6732365145,0.6078838174,0.6479104920,0.0000000000,0.0134854772,0.0070638214
no_hand,zero_mapped_target,28,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
no_visual,multi_target,3008,3008,0.7623005319,0.7623005319,0.2293882979,0.5227757670,-0.0405585106,-0.0033244681,-0.0098665279
no_visual,single_target,964,964,0.6514522822,0.6514522822,0.5809128631,0.6232101693,-0.0217842324,-0.0134854772,-0.0176365014
no_visual,zero_mapped_target,28,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
no_gaze_hand,multi_target,3008,3008,0.7613031915,0.7613031915,0.2014627660,0.4908786328,-0.0415558511,-0.0312500000,-0.0417636621
no_gaze_hand,single_target,964,964,0.5871369295,0.5871369295,0.5207468880,0.5596999934,-0.0860995851,-0.0736514523,-0.0811466772
no_gaze_hand,zero_mapped_target,28,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
