variant,partition,num_total,num_evaluable,coverage,hit_all,hit_mapped,exact,set_f1_macro
full_baseline,scene1,800,800,1.0000000000,0.7687500000,0.7687500000,0.3550000000,0.5838226912
full_baseline,scene2,800,792,0.9900000000,0.5050000000,0.5101010101,0.0921717172,0.2867003367
full_baseline,scene3,800,800,1.0000000000,0.7737500000,0.7737500000,0.2512500000,0.5209811508
full_baseline,scene4_room1,200,186,0.9300000000,0.8850000000,0.9516129032,0.5000000000,0.8128392217
full_baseline,scene4_room2,200,200,1.0000000000,0.9900000000,0.9900000000,0.8700000000,0.9482619048
full_baseline,scene4_room3,200,199,0.9950000000,0.9800000000,0.9849246231,0.7638190955,0.9165829146
full_baseline,scene4_room4,200,199,0.9950000000,0.9750000000,0.9798994975,0.6683417085,0.8693307809
full_baseline,scene5,800,796,0.9950000000,0.8250000000,0.8291457286,0.2047738693,0.5186145373
language_anchors_only,scene1,800,800,1.0000000000,0.5250000000,0.5250000000,0.1537500000,0.3632292487
language_anchors_only,scene2,800,792,0.9900000000,0.3075000000,0.3106060606,0.0643939394,0.1815440823
language_anchors_only,scene3,800,800,1.0000000000,0.6700000000,0.6700000000,0.1812500000,0.4430620040
language_anchors_only,scene4_room1,200,186,0.9300000000,0.9100000000,0.9784946237,0.6075268817,0.8579621096
language_anchors_only,scene4_room2,200,200,1.0000000000,0.9900000000,0.9900000000,0.8650000000,0.9519523810
language_anchors_only,scene4_room3,200,199,0.9950000000,0.9900000000,0.9949748744,0.8542713568,0.9530988275
language_anchors_only,scene4_room4,200,199,0.9950000000,0.9850000000,0.9899497487,0.6984924623,0.8881630374
language_anchors_only,scene5,800,796,0.9950000000,0.6687500000,0.6721105528,0.1256281407,0.4425853878
no_gaze,scene1,800,800,1.0000000000,0.6287500000,0.6287500000,0.2525000000,0.4528911436
no_gaze,scene2,800,792,0.9900000000,0.4687500000,0.4734848485,0.0820707071,0.2629739859
no_gaze,scene3,800,800,1.0000000000,0.7450000000,0.7450000000,0.2262500000,0.4879087302
no_gaze,scene4_room1,200,186,0.9300000000,0.8950000000,0.9623655914,0.5268817204,0.8222094214
no_gaze,scene4_room2,200,200,1.0000000000,0.9850000000,0.9850000000,0.8800000000,0.9501666667
no_gaze,scene4_room3,200,199,0.9950000000,0.9900000000,0.9949748744,0.7336683417,0.9132328308
no_gaze,scene4_room4,200,199,0.9950000000,0.9650000000,0.9698492462,0.6130653266,0.8392597910
no_gaze,scene5,800,796,0.9950000000,0.7837500000,0.7876884422,0.1733668342,0.4710116238
no_hand,scene1,800,800,1.0000000000,0.7600000000,0.7600000000,0.3487500000,0.5762757937
no_hand,scene2,800,792,0.9900000000,0.5262500000,0.5315656566,0.1010101010,0.3045925525
no_hand,scene3,800,800,1.0000000000,0.7750000000,0.7750000000,0.2537500000,0.5232539683
no_hand,scene4_room1,200,186,0.9300000000,0.8850000000,0.9516129032,0.5322580645,0.8214797747
no_hand,scene4_room2,200,200,1.0000000000,0.9950000000,0.9950000000,0.8400000000,0.9450000000
no_hand,scene4_room3,200,199,0.9950000000,0.9900000000,0.9949748744,0.7336683417,0.9150753769
no_hand,scene4_room4,200,199,0.9950000000,0.9700000000,0.9748743719,0.6482412060,0.8558108000
no_hand,scene5,800,796,0.9950000000,0.8112500000,0.8153266332,0.1997487437,0.5094170626
no_visual,scene1,800,800,1.0000000000,0.6875000000,0.6875000000,0.3125000000,0.5257767857
no_visual,scene2,800,792,0.9900000000,0.4637500000,0.4684343434,0.0921717172,0.2760411656
no_visual,scene3,800,800,1.0000000000,0.7650000000,0.7650000000,0.2512500000,0.5259942280
no_visual,scene4_room1,200,186,0.9300000000,0.8850000000,0.9516129032,0.6075268817,0.8408730159
no_visual,scene4_room2,200,200,1.0000000000,0.9800000000,0.9800000000,0.7950000000,0.9264523810
no_visual,scene4_room3,200,199,0.9950000000,0.9850000000,0.9899497487,0.8341708543,0.9441732472
no_visual,scene4_room4,200,199,0.9950000000,0.9900000000,0.9949748744,0.7386934673,0.9060620563
no_visual,scene5,800,796,0.9950000000,0.7750000000,0.7788944724,0.1771356784,0.5067248915
no_gaze_hand,scene1,800,800,1.0000000000,0.6387500000,0.6387500000,0.2425000000,0.4552212302
no_gaze_hand,scene2,800,792,0.9900000000,0.4625000000,0.4671717172,0.0782828283,0.2584916627
no_gaze_hand,scene3,800,800,1.0000000000,0.7462500000,0.7462500000,0.2375000000,0.4901359127
no_gaze_hand,scene4_room1,200,186,0.9300000000,0.8900000000,0.9569892473,0.5107526882,0.8142729135
no_gaze_hand,scene4_room2,200,200,1.0000000000,0.9800000000,0.9800000000,0.8700000000,0.9504523810
no_gaze_hand,scene4_room3,200,199,0.9950000000,0.9850000000,0.9899497487,0.7035175879,0.9005025126
no_gaze_hand,scene4_room4,200,199,0.9950000000,0.9700000000,0.9748743719,0.6030150754,0.8389168063
no_gaze_hand,scene5,800,796,0.9950000000,0.7662500000,0.7701005025,0.1670854271,0.4615740296
