variant,subset,num_samples,temporal_f1,point_at_100,joint_at_100,delta_temporal_f1_vs_full,delta_joint100_vs_full
full_baseline,multi_target,2942,0.7505263873,0.2322896149,0.1956123073,0.0000000000,0.0000000000
full_baseline,single_target,1058,0.6199821588,0.3434433541,0.2578055308,0.0000000000,0.0000000000
full_panels_no_crop,multi_target,2942,0.7103565365,0.2061799660,0.1646179966,-0.0401698508,-0.0309943107
full_panels_no_crop,single_target,1058,0.6396074933,0.3380909902,0.2497769848,0.0196253345,-0.0080285459
instruction_only_prompt,multi_target,2942,0.6671119026,0.2051053725,0.1669634907,-0.0834144846,-0.0286488166
instruction_only_prompt,single_target,1058,0.5870279146,0.3431855501,0.2512315271,-0.0329542442,-0.0065740037
no_gaze,multi_target,2942,0.7028532609,0.1990489130,0.1558423913,-0.0476731264,-0.0397699160
no_gaze,single_target,1058,0.5950044603,0.2265834077,0.1498661909,-0.0249776985,-0.1079393399
no_gaze_text_prior,multi_target,2942,0.6957290533,0.2011697497,0.1592763874,-0.0547973340,-0.0363359199
no_gaze_text_prior,single_target,1058,0.6491306286,0.3423985733,0.2594739189,0.0291484698,0.0016683881
