model,unified_id,scene,row_index,reason
qwen30,scene2::260,scene2,260,missing_prediction
qwen30,scene2::265,scene2,265,missing_prediction
qwen30,scene2::335,scene2,335,missing_prediction
qwen30,scene2::361,scene2,361,missing_prediction
qwen30,scene2::374,scene2,374,missing_prediction
qwen30,scene2::498,scene2,498,missing_prediction
qwen30,scene2::569,scene2,569,missing_prediction
qwen30,scene2::751,scene2,751,missing_prediction
qwen30,scene2::792,scene2,792,missing_prediction
qwen30,scene4_room1::15,scene4_room1,15,missing_prediction
qwen30,scene4_room1::20,scene4_room1,20,missing_prediction
qwen30,scene4_room1::33,scene4_room1,33,missing_prediction
qwen30,scene4_room1::34,scene4_room1,34,missing_prediction
qwen30,scene4_room1::37,scene4_room1,37,missing_prediction
qwen30,scene4_room1::44,scene4_room1,44,missing_prediction
qwen30,scene4_room1::45,scene4_room1,45,missing_prediction
qwen30,scene4_room1::64,scene4_room1,64,missing_prediction
qwen30,scene4_room1::70,scene4_room1,70,missing_prediction
qwen30,scene4_room1::76,scene4_room1,76,missing_prediction
qwen30,scene4_room1::94,scene4_room1,94,missing_prediction
qwen30,scene4_room1::99,scene4_room1,99,missing_prediction
qwen30,scene4_room1::130,scene4_room1,130,missing_prediction
qwen30,scene4_room1::138,scene4_room1,138,missing_prediction
qwen30,scene4_room3::19,scene4_room3,19,missing_prediction
qwen30,scene4_room4::61,scene4_room4,61,missing_prediction
qwen30,scene5::9,scene5,9,missing_prediction
qwen30,scene5::35,scene5,35,missing_prediction
qwen30,scene5::58,scene5,58,missing_prediction
qwen30,scene5::131,scene5,131,missing_prediction
qwen8,scene2::260,scene2,260,missing_prediction
qwen8,scene2::265,scene2,265,missing_prediction
qwen8,scene2::335,scene2,335,missing_prediction
qwen8,scene2::361,scene2,361,missing_prediction
qwen8,scene2::374,scene2,374,missing_prediction
qwen8,scene2::498,scene2,498,missing_prediction
qwen8,scene2::569,scene2,569,missing_prediction
qwen8,scene2::751,scene2,751,missing_prediction
qwen8,scene2::792,scene2,792,missing_prediction
qwen8,scene4_room1::15,scene4_room1,15,missing_prediction
qwen8,scene4_room1::20,scene4_room1,20,missing_prediction
qwen8,scene4_room1::33,scene4_room1,33,missing_prediction
qwen8,scene4_room1::34,scene4_room1,34,missing_prediction
qwen8,scene4_room1::37,scene4_room1,37,missing_prediction
qwen8,scene4_room1::44,scene4_room1,44,missing_prediction
qwen8,scene4_room1::45,scene4_room1,45,missing_prediction
qwen8,scene4_room1::64,scene4_room1,64,missing_prediction
qwen8,scene4_room1::70,scene4_room1,70,missing_prediction
qwen8,scene4_room1::76,scene4_room1,76,missing_prediction
qwen8,scene4_room1::94,scene4_room1,94,missing_prediction
qwen8,scene4_room1::99,scene4_room1,99,missing_prediction
qwen8,scene4_room1::130,scene4_room1,130,missing_prediction
qwen8,scene4_room1::138,scene4_room1,138,missing_prediction
qwen8,scene4_room3::19,scene4_room3,19,missing_prediction
qwen8,scene4_room4::61,scene4_room4,61,missing_prediction
qwen8,scene5::9,scene5,9,missing_prediction
qwen8,scene5::35,scene5,35,missing_prediction
qwen8,scene5::58,scene5,58,missing_prediction
qwen8,scene5::131,scene5,131,missing_prediction
internvl,scene2::260,scene2,260,missing_prediction
internvl,scene2::265,scene2,265,missing_prediction
internvl,scene2::335,scene2,335,missing_prediction
internvl,scene2::361,scene2,361,missing_prediction
internvl,scene2::374,scene2,374,missing_prediction
internvl,scene2::498,scene2,498,missing_prediction
internvl,scene2::569,scene2,569,missing_prediction
internvl,scene2::751,scene2,751,missing_prediction
internvl,scene2::792,scene2,792,missing_prediction
internvl,scene4_room1::15,scene4_room1,15,missing_prediction
internvl,scene4_room1::20,scene4_room1,20,missing_prediction
internvl,scene4_room1::33,scene4_room1,33,missing_prediction
internvl,scene4_room1::34,scene4_room1,34,missing_prediction
internvl,scene4_room1::37,scene4_room1,37,missing_prediction
internvl,scene4_room1::44,scene4_room1,44,missing_prediction
internvl,scene4_room1::45,scene4_room1,45,missing_prediction
internvl,scene4_room1::64,scene4_room1,64,missing_prediction
internvl,scene4_room1::70,scene4_room1,70,missing_prediction
internvl,scene4_room1::76,scene4_room1,76,missing_prediction
internvl,scene4_room1::94,scene4_room1,94,missing_prediction
internvl,scene4_room1::99,scene4_room1,99,missing_prediction
internvl,scene4_room1::130,scene4_room1,130,missing_prediction
internvl,scene4_room1::138,scene4_room1,138,missing_prediction
internvl,scene4_room3::19,scene4_room3,19,missing_prediction
internvl,scene4_room4::61,scene4_room4,61,missing_prediction
internvl,scene5::9,scene5,9,missing_prediction
internvl,scene5::35,scene5,35,missing_prediction
internvl,scene5::58,scene5,58,missing_prediction
internvl,scene5::131,scene5,131,missing_prediction
